step,path1,path2,path3,path4,path5,path6,path7,path8,path9,path10,path11,path12,path13,path14,path15,path16,path17,path18,path19,path20,path21,path22,path23,path24,path25,path26,path27,path28,path29,path30,path31,path32,path33,path34,path35,path36,path37,path38,path39,path40,path41,path42,path43,path44,path45,path46,path47,path48,path49,path50
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,101.647452,101.1847568,99.72503375,100.7772333,101.9244399,100.9425924,99.21318213,103.2476945,99.50971143,100.4199949,103.1208455,101.9503736,98.91880164,99.83173671,100.7533832,100.0773846,98.2778001,98.97024368,99.62812271,98.88421505,99.45351635,99.40294739,101.5879597,98.29669235,100.3344657,99.58068086,98.79790916,100.0831359,99.3544246,99.58663139,99.65550494,101.2549123,99.84724352,100.2165993,98.37397472,97.96609211,98.0743038,97.97639021,101.2297043,99.54666901,98.83785852,98.14723307,100.6910578,100.5296713,100.0782405,101.5868365,100.7618647,98.73375399,102.7659051,100.1593909
2,102.5583775,99.22204948,98.10445034,102.2155131,101.5421883,101.2375013,98.51552951,105.1275645,100.261844,101.3726101,103.5768216,103.0460832,99.39140507,101.733864,100.5581678,100.5147652,95.49573994,98.54259703,98.27487081,98.39404433,99.29414385,101.0593025,103.463213,97.0708409,101.5292175,99.70836091,98.85411538,101.3037372,99.58498896,97.23869958,97.91777027,102.2204446,100.1946915,100.4449083,96.67005155,98.010524,97.06759133,97.87951244,100.165272,99.24358282,100.1280772,97.93627525,100.5101091,99.99041311,97.76734327,102.0626297,99.91918029,100.497031,103.3755977,101.4033597
3,103.0779914,99.86120108,99.90131436,102.8413991,103.4316109,99.9694551,98.9435776,104.6315268,100.8312878,99.66617887,102.4648143,105.1477021,100.2004334,100.8581158,101.6106488,98.84575074,95.54174204,100.2847964,99.07217914,99.52537146,99.47383917,100.967664,103.0201139,95.11185015,103.1284261,100.6500439,100.1387383,102.8378497,99.63506549,95.83860936,96.46419064,102.4876069,101.5029487,101.2972046,95.75627297,98.55041844,95.25884514,97.21272805,100.8290237,100.3240181,99.15191186,99.76721251,99.57723536,99.29950031,98.82923904,102.8708212,99.15194472,102.4147248,102.2314776,100.6729252
4,102.3391879,100.2220856,97.09572279,102.6728896,102.2127824,101.2809428,98.31085732,104.3390065,99.91836988,100.61126,102.2989626,105.0723491,100.9731871,102.7510655,102.7121433,98.49779829,93.81377456,99.52637441,98.95945467,99.079402,100.4635157,103.0202393,103.197784,95.96682416,104.904221,99.94752842,101.0392254,102.7160114,101.1456064,96.40601611,97.06954794,101.5064824,100.7502705,100.7824751,94.98364127,100.5988749,95.94024966,98.08369847,102.5490015,97.31750964,98.70785428,101.4380451,99.76507563,100.8380716,99.46096494,101.3799827,98.37319196,103.2274533,102.0910504,98.4575723
5,103.7957286,100.362936,96.04791949,103.5196179,100.9901371,102.5852687,97.64715465,105.1700048,100.6019848,102.5531684,105.6136013,104.9335263,101.9258955,103.0169034,100.9259534,99.73770823,94.26423017,98.46531564,100.1864708,100.0581136,101.1463126,102.0700668,100.6929163,93.58342287,105.9436688,98.66643525,102.2731993,101.9983424,101.6744121,95.61585329,94.47334689,102.0275097,99.31895218,102.5232019,95.6386311,102.0067434,96.7534765,95.90126263,104.5973018,97.95360981,99.52725152,103.8779678,100.0552183,99.5182748,99.20453384,100.7637406,98.47633007,103.44299,101.6998096,99.55562492
6,101.3360807,100.067446,94.51184213,102.2154568,101.5148537,103.0079406,97.11189838,105.6736424,101.0278945,103.1242767,105.767661,105.6913502,101.4363798,103.4194954,100.6335701,100.3817498,95.12589162,98.53351549,101.4885263,101.858082,101.4933934,102.9274964,101.3257859,92.6958921,104.2924236,100.0818855,101.9649651,102.6118123,103.9191882,95.39122141,94.37540742,101.0198441,98.35940045,101.9564366,98.50913571,100.996246,97.61455845,97.27280803,103.3295888,96.82294329,100.6899975,103.4308359,99.7022709,101.2679112,99.64714951,101.2769177,97.26925037,102.3353507,102.4383346,98.86622035
7,99.45265104,99.00133248,95.40635957,101.6221054,100.7007646,103.0943201,97.27848186,105.0210971,100.8409185,102.4494813,106.8755217,105.5372541,99.0200164,103.6280132,101.5127288,99.64919811,95.81925348,99.02140463,104.4148774,100.2702585,100.5643374,100.489685,103.4538612,93.06714406,104.2515422,101.4637113,102.2860228,102.5333669,103.5465405,96.85001643,94.60891083,100.9490237,97.81203922,100.3815028,99.78872938,100.3376644,98.15136732,97.99542023,103.2717649,96.41468394,102.1007768,104.2491486,98.0973691,103.3181894,100.9620396,100.3874223,97.54076774,103.8174099,102.5302736,99.04648607
8,98.55337239,98.5881523,94.74743057,102.0498511,100.249111,102.0041043,97.65037612,105.3384894,98.72677763,102.447241,105.6499741,103.6117878,99.45700212,104.5138731,101.3269117,99.5385272,96.39136391,98.45672735,104.2950651,100.1793877,98.64423775,101.0351184,103.4136618,93.66721011,104.2306915,101.6552599,102.4116201,103.9869861,104.785285,96.60179722,95.13354179,100.9017372,97.97548505,99.68382598,101.3228452,99.94786978,98.15731737,97.3484321,103.0420435,95.43050399,104.1102429,104.5657647,98.10487564,102.5412596,101.657527,98.93569985,98.33724785,103.6864663,100.359581,100.003651
9,98.17457899,99.08501161,96.21978073,101.2489234,100.2160972,99.75973093,99.15984835,105.012361,100.7486542,100.1409238,108.4893483,101.3551932,99.39794415,103.2725213,103.5117186,100.6663187,95.73716487,97.96982103,102.4031025,100.7355906,98.87395419,102.0000073,103.0022451,90.66816347,104.7993202,102.2945331,102.5774099,103.142995,103.2949874,96.43581243,93.77776297,101.70318,100.3891136,98.53050671,98.99212247,99.80707337,98.43876129,97.72418404,100.8682802,95.59193722,105.1964995,104.3285667,98.24204621,103.2895831,103.2014294,99.18842071,99.05728946,101.8213738,98.85813412,100.3244786
10,98.19704644,99.5572153,94.68895144,103.2139525,99.45496825,98.15267581,97.95614899,104.9659726,99.49066447,99.60748699,106.5978995,102.5347724,100.6653027,104.2936326,102.2661378,100.3098814,96.13330173,97.25973432,101.7773934,101.0426194,98.96240222,103.3758963,102.4648511,88.18865964,103.2488203,101.2152988,102.6989927,105.2707522,101.7840471,99.66785956,94.59630333,103.0460081,98.29196267,98.49104993,98.3824713,98.89006044,98.84288795,97.06140182,101.9075166,94.25549409,104.9954002,101.0341065,97.38188568,102.0980816,102.9101072,99.98917702,100.2817577,102.1295572,101.5297363,100.4880618
11,99.9652442,102.4094552,92.9743659,103.9320473,101.0402032,96.4856106,98.11017603,105.0513896,99.99970628,101.1506844,106.4552037,102.4360577,101.1340475,104.2403818,104.3585349,98.56149083,96.13071624,99.53115552,101.096209,101.592793,96.81090837,102.8268088,102.1305683,88.6200413,105.1574512,102.3432151,103.2192975,106.0442425,102.0812806,99.23310581,95.14034663,103.7478017,99.99443284,98.42670559,98.1100127,99.78209866,99.19351921,96.28998354,103.1756606,95.02918108,102.0971461,101.383429,97.23596011,103.7306565,103.7927673,99.86807544,97.37312404,104.1196864,101.6156552,99.63913753
